AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
8510B556471,556471,Rockfield,Ceathrú na Cloiche,Rockfield,Ceathrú na Cloiche,,E0851335,559473,824388,54.1668657,-8.6206176,BCT,CUS,OTH,N,,851,TRUE
8510B556611,556611,Henrys Cross,Crois Anraí,Henrys Cross,Crois Anraí,,E0851933,551684,819779,54.1247803,-8.7391478,BCT,CUS,OTH,N,,851,TRUE
8510B556631,556631,Carrowneden Cross,Ceathrú an Éadain,Carrowneden Cross,Ceathrú an Éadain,,E0851035,554347,821089,54.1367940,-8.6986101,BCT,CUS,OTH,N,,851,TRUE
8510B556671,556671,Mullarkeys Cross,Crois Mullarkey,Mullarkeys Cross,Crois Mullarkey,,E0851654,543078,813182,54.0646275,-8.8695480,BCT,CUS,OTH,N,,851,TRUE
8510B554791,554791,Woodville Court,Baile na Coille,Woodville Court,Baile na Coille,,E0851563,566477,836231,54.2737829,-8.5146875,BCT,MKD,OTH,N,,851,TRUE
8510B554851,554851,Aylesbury Park,Páirc Aylesbury,Aylesbury Park,Páirc Aylesbury,,E0851563,566489,836244,54.2739004,-8.5145047,BCT,MKD,OTH,S,,851,TRUE
8510B554801,554801,Carbury Cove,Bóthar an fharraige,Carbury Cove,Bóthar an fharraige,,E0851698,567270,836860,54.2794859,-8.5025816,BCT,MKD,OTH,S,,851,TRUE
8510B554821,554821,Carbury Cove,Bóthar an fharraige,Carbury Cove,Bóthar an fharraige,,E0851698,567264,836852,54.2794136,-8.5026729,BCT,MKD,OTH,N,,851,TRUE
8510B554861,554861,City View,Radharc na Cathrach,City View,Radharc na Cathrach,,E0851123,569493,836219,54.2738638,-8.4683826,BCT,MKD,OTH,E,,851,TRUE
8510B554871,554871,City View,Radharc na Cathrach,City View,Radharc na Cathrach,,E0851123,569480,836202,54.2737102,-8.4685805,BCT,MKD,OTH,W,,851,TRUE
8510B611411,611411,St Joseph's Church,Eag Naomh Seosamh,St Joseph's Church,Eag Naomh Seosamh,,E0851123,569488,837081,54.2816087,-8.4685472,BCT,MKD,OTH,W,,851,TRUE
8510B558771,558771,St John's Hospital,Ospidéal Naomh Eoin,St John's Hospital,Ospidéal Naomh Eoin,,E0851123,569388,836949,54.2804167,-8.4700693,BCT,MKD,OTH,N,,851,TRUE
8510B554881,554881,Clarion Village,An Ghalltrumpa,Clarion Village,An Ghalltrumpa,,E0851123,569866,836962,54.2805619,-8.4627308,BCT,MKD,OTH,W,,851,TRUE
8510B554911,554911,Molloway Hill,Cnoc Molloway,Molloway Hill,Cnoc Molloway,,E0851154,570094,836442,54.2759030,-8.4591779,BCT,MKD,OTH,NE,,851,TRUE
