name,addressLine,city,neighboorhoud,postcode,latitude,longitude
SCOIL COLMCILLE NAOFA,COOLEVIN BALLYBRACK CO. DUBLIN,DUBLIN,DUBLIN COUNTY,A96TN32,53.3498053,-6.2603097
SCOIL CRE CUMHRA,NEWCASTLE ROAD GALWAY,GALWAY,GALWAY,H91FV48,53.2742056,-9.0624895
SCOIL CROI IOSA,BUNNANADDEN CO. SLIGO,SLIGO,SLIGO,F56TE24,54.0537666,-8.6040897
SCOIL CROI NAOFA,LÉIM AN BHRADÁIN CO. CHILL DARA,KILDARE,KILDARE,W23PF67,53.3007336,-8.7468847
SCOIL C.UI DHALAIGH,BALLINDRAIT LIFFORD CO DONEGAL,DONEGAL,DONEGAL,F93Y227,54.8440718,-7.565486
SCOIL CUILM CILLE,READYPENNY DUNDALK CO. LOUTH,LOUTH,LOUTH,A91DR12,53.9274417,-6.4583989
SCOIL DAIRBHRE MIXED,CHURCH ST,KILCOCK,CO KILDARE.,KILDARE,53.3994266,-6.6681233
SCOIL DARA,KILMALLOCK ROAD BRUFF,LIMERICK,LIMERICK,V35FT99,53.4029753,-6.6704502
SCOIL DEAN CUSSEN,CRUARY CLONAKILTY CO. CORK,CORK,CORK,P85VX62,51.6155022,-8.8282857
SCOIL DHAIRBHRE,MONTENOTTE CORK,CORK,CORK,T23Y439,51.9058112,-8.4418127
SCOIL EASA DHUIBHE,AN SPIDÉAL CO. NA GAILLIMHE,GALWAY,GALWAY,H91N9C9,53.2446837,-9.3028733
SCOIL EINNE,SCOTSHOUSE CLONES CO. MONAGHAN,MONAGHAN,MONAGHAN,H23H678,54.2492046,-6.9683132
SCOIL ENDA,BATH TERRACE LANE MOVILLE CO. DONEGAL,DONEGAL,DONEGAL,F93A970,55.1906113,-7.0383659
SCOIL EOIN,ARMAGH ROAD CRUMLIN DUBLIN 12,DUBLIN,DUBLIN 12,D12PX38,53.3200637,-6.3069098
SCOIL EOIN,GREENDALE ROAD DUBLIN 5,DUBLIN,DUBLIN 5,D05K5P2,53.3868212,-6.1567246
SCOIL EOIN,GALBALLY BALLYHOGUE ENNISCORTHY CO. WEXFORD,WEXFORD,WEXFORD,Y21HN47,52.3985888,-6.6400378
SCOIL EOIN BAISTE,UMLAGH CARRIGART CO. DONEGAL,DONEGAL,DONEGAL,F92HD88,55.1698481,-7.8012956
SCOIL EOIN BÁISTE,TEMPLE STREET SLIGO,SLIGO,SLIGO,F91FK20,54.2670658,-8.4767689
SCOIL EOIN NAOFA,GREEN LANE LEIXLIP CO. KILDARE,KILDARE,KILDARE,W23FY81,52.9599532,-7.7999043
SCOIL EOIN PHOIL,MONTROSE PARK ARTANE DUBLIN 5,DUBLIN,DUBLIN 5,D05W248,53.3656798,-6.5021287
SCOIL FHIACHRA SOISIR,BAILE CHONAILL AN FÁL CARRACH CO. DHÚN NA NGALL,DONEGAL,DONEGAL,F92FW44,55.1383697,-8.0961202
SCOIL FHIONÁIN,MARLBOG ROAD HAGGARDSTOWN DUNDALK CO. LOUTH,LOUTH,LOUTH,A91AP98,53.9252324,-6.4889423
SCOIL FHURSA,BÉAL ÁTHA AN GHAORTHAIDH CO. CHORCAÍ,CORK,CORK,P12PC04,53.269037,-9.066295
SCOIL FIONNBARRA,COLLEGE ROAD FERMOY CO. CORK,CORK,CORK,P61N562,51.8985143,-8.4756035
SCOIL FREASTOGAIL MUIRE,CLAIS NA LACHAN DÚN NA MAINISTREACH DÚN GARBHÁN CO. PHORT LÁIRGE,WATERFORD,WATERFORD,X35NP84,52.1006428,-7.5950922
SCOIL GEARBHAIN,BELLEVUE MALLOW CO. CORK,CORK,CORK,P51KW86,52.1300956,-8.646081
SCOIL GHORMÁIN NAOFA,PHIBBLESTOWN CLONEE DUBLIN 15,DUBLIN,DUBLIN 15,D15Y5PR,53.3975244,-6.4371064
SCOIL GHRAINNE COMMUNITY NATIONAL SCHOOL,GARBALLY BALLINASLOE CO. GALWAY,GALWAY,GALWAY,H53HW42,53.274001,-9.0512662
SCOIL IARLATHA NAOFA,ARDNAMARA SALTHILL GALWAY,GALWAY,GALWAY,H91E4C2,53.2628031,-9.0812275
SCOIL IDE,CORBALLY ROAD LIMERICK,LIMERICK,LIMERICK,V94X659,52.678036,-8.6146721
SCOIL IDE,RAHEENAGH BALLAGH CO. LIMERICK,LIMERICK,LIMERICK,V42P288,52.678036,-8.6146721
SCOIL IDE NAOFA,STEPHEN STREET KILKENNY,KILKENNY,KILKENNY,R95EC93,52.6508674,-7.2607706
SCOIL IOGNAID DE RIS,TYMON ROAD TALLAGHT DUBLIN 24,DUBLIN,DUBLIN 24,D24ND34,53.3498053,-6.2603097
SCOIL IOSA,ABBEYQUARTER BALLYHAUNIS CO. MAYO,MAYO,MAYO,F35PX94,53.7593879,-8.7618446
SCOIL IOSA,CONVENT HILL BALLINA CO. MAYO,MAYO,MAYO,F26F293,54.1165743,-9.1650559
SCOIL IOSAGAIN,KNOCKPOGUE AVENUE FARRANREE CORK,CORK,CORK,T23EW70,51.9107554,-8.4851664
SCOIL IOSAGAIN,UPPERCHURCH THURLES CO. TIPPERARY,TIPPERARY,TIPPERARY,E41DY88,52.7013382,-8.0217352
SCOIL IOSAGAIN,ST MARY'S ROAD BUNCRANA CO. DONEGAL,DONEGAL,DONEGAL,F93CA39,55.1330535,-7.4563353
SCOIL IOSAGAIN,CHURCH ROAD BALLYBUNION,KERRY,KERRY,V31F208,52.5134602,-9.669397
SCOIL ÍOSAGÁIN,AUGHAVANNAGH ROAD CRUMLIN DUBLIN 12,DUBLIN,DUBLIN 12,D12W522,53.3302878,-6.2879901
SCOIL IOSAGAIN BOYS SENIOR,WHITEHALL ROAD CHURCHTOWN DUBLIN 14,DUBLIN,DUBLIN 14,D14Y448,53.3302878,-6.2879901
SCOIL ISIUNTA AN DEA AOIRE,FRESHFORD CO. KILKENNY,KILKENNY,KILKENNY,R95RP20,52.5776957,-7.218002
SCOIL LACHTAIN,CILL NA MARTRA MAIGH CHROMTHA CO. CHORCAÍ,CORK,CORK,P12AY06,51.8996809,-9.0880876
SCOIL LACHTAIN NAOFA,CEARNÓG EATON BAILE NA MANACH CO. ÁTHA CLIATH,DUBLIN,DUBLIN COUNTY,A94F596,53.3498053,-6.2603097
SCOIL LORCAIN B,ST. JOHN'S PARK WATERFORD,WATERFORD,WATERFORD,X91HY92,52.2431036,-7.1060274
SCOIL LORCAIN BNS,OLD BAWN TALLAGHT DUBLIN 24,DUBLIN,DUBLIN 24,D24T854,53.2965821,-6.164735
SCOIL MAELRUAIN JUNIOR,OLD BAWN TALLAGHT DUBLIN 24 TEST ADDRESS,DUBLIN,DUBLIN 24,D24EV18,53.2778003,-6.3633301
SCOIL MARIA ASSUMPTA,SOUTH CIRCULAR ROAD LIMERICK CITY,LIMERICK,LIMERICK,V94VR64,52.6524137,-8.6384264
SCOIL MATHAIR DE,KILWORTH CO. CORK,CORK,CORK,P61D504,52.6524923,-8.638423
SCOIL MHÁIRTIN,RACKWALLACE CASTLESHANE CO. MONAGHAN,MONAGHAN,MONAGHAN,H18XY66,54.2168931,-6.8950855
SCOIL MHICHIL,CAHERMURPHY KILMIHIL KILRUSH,CLARE,CLARE,V15W892,52.7514922,-9.3394462
SCOIL MHICHIL,PATRICK STREET TRIM CO. MEATH,MEATH,MEATH,C15FK19,53.5513002,-6.7918515
SCOIL MHICHIL NAOFA,MOUNT HAWKINS ATHY CO. KILDARE,KILDARE,KILDARE,R14XD86,52.9939356,-6.9807772
SCOIL MHICHIL NAOFA,LISTERLIN MULLINAVAT VIA WATERFORD CO. KILKENNY,KILKENNY,KILKENNY,X91EA09,52.7921787,-7.5712127
SCOIL MHOLAINGE LISTERLIN,RATHSALLAGH SHANKILL DUBLIN 18,DUBLIN,DUBLIN COUNTY,D18FT91,53.3498053,-6.2603097
SCOIL MHUIRE,MAGHERARNEY SMITHBOROUGH CO. MONAGHAN,MONAGHAN,MONAGHAN,H18RX50,54.2467497,-6.9760253
SCOIL MHUIRE,BOYHER ROCKCORRY CO. MONAGHAN,MONAGHAN,MONAGHAN,H18NY50,54.2467497,-6.9760253
SCOIL MHUIRE,AN TUAIRÍN BÉAL AN DAINGIN CO. NA GAILLIMHE,GALWAY,GALWAY,H91AV61,53.3049651,-9.5947155
SCOIL MHUIRE,GILFORD ROAD SANDYMOUNT DUBLIN 4,DUBLIN,DUBLIN 4,D04DC04,53.3282434,-6.2121764
SCOIL MHUIRE,CASTLE ROAD ORANMORE CO. GALWAY,GALWAY,GALWAY,H91F9T8,53.2673363,-8.9318252
SCOIL MHUIRE,LUCAN ROAD LUCAN CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K78DK18,53.3706418,-6.2323174
SCOIL MHUIRE,EFFIN KILMALLOCK CO. LIMERICK,LIMERICK,LIMERICK,V35RH51,52.3480289,-8.6082042
SCOIL MHUIRE,WOLFHILL ATHY CO KILDARE,LAOIS,LAOIS,R14C521,52.9004534,-7.1313307
SCOIL MHUIRE,LACKEN BALLINAGH CO. CAVAN,CAVAN,CAVAN,H12E171,53.9167105,-7.4389567
SCOIL MHUIRE,AUGHNAGARRON GRANARD CO LONGFORD,LONGFORD,LONGFORD,N39KX77,53.7259675,-7.796666
SCOIL MHUIRE,PETTIGO CO DONEGAL,DONEGAL,DONEGAL,F94C960,54.546535,-7.8382406
SCOIL MHUIRE,BRIERHILL SCHOOL BRIERHILL GALWAY,GALWAY,GALWAY,H91E5C9,53.2673363,-8.9318252
SCOIL MHUIRE,TOWER ROAD CHAPELIZOD DUBLIN 20,DUBLIN,DUBLIN 20,D20HX04,53.3179521,-6.3943527
SCOIL MHUIRE,ARDEEVIN WILLIAMSTOWN CO. GALWAY,GALWAY,GALWAY,F45DX68,53.2673363,-8.9318252
SCOIL MHUIRE,KILCRUTTIN TULLAMORE CO. OFFALY,OFFALY,OFFALY,R35K250,53.271717,-7.4999389
SCOIL MHUIRE,CAISEAL CEANNDROMA O.P. FÁNAID,DONEGAL,DONEGAL,F92V449,55.2299935,-7.7231271
SCOIL MHUIRE,DOIRE GLINNE SRAITH SALACH CO. NA GAILLIMHE,GALWAY,GALWAY,H91P6A0,53.2673363,-8.9318252
SCOIL MHUIRE,BROADFORD CHARLEVILLE CO. LIMERICK,LIMERICK,LIMERICK,P56VW31,52.3459307,-8.9693545
SCOIL MHUIRE,KNOCKOGNOE BROSNA CO. KERRY,KERRY,KERRY,V92E982,52.3126332,-9.2765471
SCOIL MHUIRE,AN CRAOSLOCH LETTERKENNY CO DONEGAL,DONEGAL,DONEGAL,F92PN84,55.1245135,-7.9120853
SCOIL MHUIRE,GLASLOUGH CO. MONAGHAN,MONAGHAN,MONAGHAN,H18HC79,54.2467497,-6.9760253
SCOIL MHUIRE,CILL MHEANMAN MULLINAHONE THURLES CO TIPPERARY,TIPPERARY,TIPPERARY,E41NR76,52.4857157,-7.5042505
SCOIL MHUIRE,CASTLEDONOVAN DRIMOLEAGUE CO. CORK,CORK,CORK,P47E735,51.9022221,-8.4679331
SCOIL MHUIRE,DRISTERNAN GLENEELY CO. DONEGAL,DONEGAL,DONEGAL,F93P212,55.2418276,-7.1511232
SCOIL MHUIRE,NEWCASTLE CLONMEL CO. TIPPEARY,TIPPERARY,TIPPERARY,E91DX23,52.2718185,-7.8088109
SCOIL MHUIRE,CORR NA MÓNA CO. NA GAILLIMHE,GALWAY,GALWAY,F12WV77,53.5121488,-9.4566491
SCOIL MHUIRE,CONVENT ROAD CLONDALKIN DUBLIN 22,DUBLIN,DUBLIN 22,D22F851,53.3179521,-6.3943527
SCOIL MHUIRE,ACHADH LIN AHALIN BALLINGARRY CO. LIMERICK,LIMERICK,LIMERICK,V94PC85,52.4649218,-8.9387871
SCOIL MHUIRE,BELCRUIT KINCASSLAGH LETTERKENNY CO. DONEGAL,DONEGAL,DONEGAL,F94EK09,55.0176694,-8.3967904
SCOIL MHUIRE,BALLYMANY NEWBRIDGE CO. KILDARE,KILDARE,KILDARE,W12HD29,53.1733294,-6.8161368
SCOIL MHUIRE,GREEN LANE LEIXLIP CO. KILDARE,KILDARE,KILDARE,W23TX49,53.365973,-6.5011879
SCOIL MHUIRE,GLENMORE COURT BALLYBODEN DUBLIN 16,DUBLIN,DUBLIN 16,D16V043,53.3706418,-6.2323174
SCOIL MHUIRE,RAMELTON CO. DONEGAL,DONEGAL,DONEGAL,F92XHW5,55.0335892,-7.6495917
SCOIL MHUIRE,BORNACOOLA CARRICK ON SHANNON CO LEITRIM,LEITRIM,LEITRIM,N41YH05,53.860226,-7.8782135
SCOIL MHUIRE,BALLINAMONA CAMPILE CO. WEXFORD,WEXFORD,WEXFORD,Y34PD77,52.336256,-6.48429
SCOIL MHUIRE,MICHAEL J PRENDERGAST ROAD TALLOW CO. WATERFORD,WATERFORD,WATERFORD,P51W212,52.0911923,-8.0040284
SCOIL MHUIRE,LISMACKIN ROSCREA CO. TIPPERARY,TIPPERARY,TIPPERARY,E53Y589,52.8970284,-7.8130655
SCOIL MHUIRE,BROADWAY CO. WEXFORD,WEXFORD,WEXFORD,Y35DE42,52.336256,-6.48429
SCOIL MHUIRE,BALLYROAN ROAD ABBEYLEIX CO. LAOIS,LAOIS,LAOIS,R32A566,52.9186645,-7.3427415
SCOIL MHUIRE,TUDOR GROVE ASHBOURNE CO. MEATH,MEATH,MEATH,A84X762,53.5159947,-6.3987342
SCOIL MHUIRE,GLENTIES CO. DONEGAL,DONEGAL,DONEGAL,F94HT62,54.794647,-8.279131
SCOIL MHUIRE,PARNELL STREET KILKENNY,KILKENNY,KILKENNY,R95YT68,52.6511961,-7.2559655
SCOIL MHUIRE,RACECOURSE ROAD CLIFDEN CO. GALWAY,GALWAY,GALWAY,H71HY04,53.4907801,-10.0180192
SCOIL MHUIRE,NENAGH ROAD BORRISOKANE CO. TIPPERARY,TIPPERARY,TIPPERARY,E45H928,52.9921242,-8.1290348
SCOIL MHUIRE,CARRICK-ON-SHANNON CO. LEITRIM,LEITRIM,LEITRIM,N41Y186,53.9457051,-8.0890674
SCOIL MHUIRE,MOONCOIN CO. KILKENNY,KILKENNY,KILKENNY,X91YC58,52.2963357,-7.2621024
SCOIL MHUIRE,ENNISTYMON CO CLARE,CLARE,CLARE,V95AK18,52.9388548,-9.2986566
SCOIL MHUIRE,KANTURK CO CORK,CORK,CORK,P51XK81,51.9022221,-8.4679331
SCOIL MHUIRE,1-3 SIDNEY PLACE WELLINGTON ROAD CORK,CORK,CORK,T23PF76,51.9022221,-8.4679331
SCOIL MHUIRE,PATRICK STREET TRIM CO MEATH,MEATH,MEATH,C15FF67,53.55239,-6.7901497
SCOIL MHUIRE,STROKESTOWN CO ROSCOMMON,ROSCOMMON,ROSCOMMON,F42HW56,53.7776981,-8.1124398
SCOIL MHUIRE,BÉAL ATHA'N GHAORTHAIDH CO CHORCAÍ,CORK,CORK,P12YP62,51.9022221,-8.4679331
SCOIL MHUIRE,NEWTOWN BALLINASLOE CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,H53V270,53.3585643,-8.2132254
"SCOIL MHUIRE,",KILCORMAC CO. OFFALY,OFFALY,OFFALY,R42RC92,53.1745991,-7.7250096
SCOIL MHUIRE AGUS CHORMAIC,BOHERBOY ROAD LOTABEG MAYFIELD,CORK,CORK,T23CA33,51.9129299,-8.424435
SCOIL MHUIRE AGUS EOIN,COLLOONEY CO. SLIGO,SLIGO,SLIGO,F91A076,54.2766103,-8.4760888
SCOIL MHUIRE AGUS IOSAF,CURROW KILLARNEY CO. KERRY,KERRY,KERRY,V93E981,52.1858376,-9.4949954
SCOIL MHUIRE AGUS N.TREASA,ALLENWOOD ROBERTSTOWN NAAS CO KILDARE,KILDARE,KILDARE,W91FX21,53.2840375,-6.8635198
SCOIL MHUIRE ALLENWOOD NATIONAL SCHOOL,KNOCKNAHEENY CORK,CORK,CORK,T23AH26,51.8985143,-8.4756035
SCOIL MHUIRE AR CHNOC HAOINE,KILLORGLIN CO. KERRY,KERRY,KERRY,V93HK80,52.1082496,-9.7879833
SCOIL MHUIRE B & C,CORDAL CASTLEISLAND CO. KERRY,KERRY,KERRY,V92X015,52.2288793,-9.3850251
SCOIL MHUIRE B&C,NA DOIRÍ BEAGA LEITIR CEANAINN CO. DHÚN NA NGALL,DONEGAL,DONEGAL,F92NN82,55.0693991,-8.2975966
SCOIL MHUIRE B&C,CASTLEBLAYNEY CO. MONAGHAN,MONAGHAN,MONAGHAN,A75PC94,54.1154962,-6.7341297
SCOIL MHUIRE BNS,GRANGE ROAD RATHFARNHAM DUBLIN 14,DUBLIN,DUBLIN 14,D14P046,53.2793738,-6.2892052
SCOIL MHUIRE BOYS,CLANE NAAS CO KILDARE,KILDARE,KILDARE,W91PD79,53.2918225,-6.6980338
SCOIL MHUIRE COMMUNITY SCHOOL,COOLCOTTS WEXFORD,WEXFORD,WEXFORD,Y35TR29,52.3362517,-6.4840977
SCOIL MHUIRE COOLCOTTS,NORTH MONASTERY ROAD CORK,CORK,CORK,T23VY17,51.8985143,-8.4756035
SCOIL MHUIRE FATIMA BOYS SENIOR,BALLYGAR CO. GALWAY VIA ROSCOMMON,GALWAY,GALWAY,F42AD83,53.5217221,-8.3270475
SCOIL MHUIRE GAN SMAL,FEEVAGH DYSART CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,H53NX71,53.6280154,-8.1966823
SCOIL MHUIRE GAN SMAL,BALLYMOTE CO. SLIGO,SLIGO,SLIGO,F56CP59,54.0914069,-8.5136186
SCOIL MHUIRE GAN SMAL,BLARNEY CO CORK,CORK,CORK,T23WP23,51.9325413,-8.5598213
SCOIL MHUIRE GAN SMAL,CLAREMOUNT CLAREMORRIS CO. MAYO,MAYO,MAYO,F12XY16,53.7296917,-9.0029185
SCOIL MHUIRE GAN SMÁL,NEW INN CO. TIPPERARY,TIPPERARY,TIPPERARY,E25VH05,52.4409429,-7.8837206
SCOIL MHUIRE GAN SMÁL,KILKERLEY DUNDALK CO. LOUTH,LOUTH,LOUTH,A91A596,54.0074583,-6.469616
SCOIL MHUIRE GAN SMÁL,SCHOOL AVENUE GLASHEEN ROAD CORK,CORK,CORK,T12V084,51.9325413,-8.5598213
SCOIL MHUIRE GAN SMAL B,CLONDULANE FERMOY CO CORK,CORK,CORK,P61PW10,51.9325413,-8.5598213
"SCOIL MHUIRE GAN SMÁL, CLONDULANE",BOHERBUI NEWCASTLE WEST CO LIMERICK,LIMERICK,LIMERICK,V42RT27,52.4470683,-9.0583714
SCOIL MHUIRE & ÍDE,BALLEA ROAD CARRIGALINE CO. CORK,CORK,CORK,P43F620,52.4461898,-9.0600118
SCOIL MHUIRE MUIGHEO,TUCKETT'S LANE HOWTH CO. DUBLIN,DUBLIN,DUBLIN COUNTY,D13PW99,53.3843945,-6.068928
SCOIL MHUIRE MXD,CHURCH ROAD HEADFORD CO. GALWAY,GALWAY,GALWAY,H91FD71,53.4691777,-9.1104511
SCOIL MHUIRE NA DEA COMHAIRLE,NEWTOWN COROFIN CO. CLARE,CLARE,CLARE,V95YP02,53.4691782,-9.1104495
SCOIL MHUIRE NAISIUNTA,NEW ROAD KILLARNEY CO. KERRY,KERRY,KERRY,V93T271,51.7237792,-9.1143367
SCOIL MHUIRE NA MAINISTREACH,SHILLELAGH CO WICKLOW,WICKLOW,WICKLOW,Y14W866,52.7624312,-6.5273535
SCOIL MHUIRE NA NAIRD,WILLOWDALE BAY ESTATE DUNDALK,LOUTH,LOUTH,A91C953,53.9952493,-6.3740891
SCOIL MHUIRE NA NGAEL,LACKNACUMMEEN BELGOOLY CO. CORK,CORK,CORK,P17XT32,51.7444655,-8.4919048
SCOIL MHUIRE NA NGRAST,MENLOUGH BALLINASLOE CO. GALWAY,GALWAY,GALWAY,H53A3E8,53.4210027,-8.569264
SCOIL MHUIRE NAOFA,CARRIGTWOHILL CO. CORK,CORK,CORK,T45AK65,51.908902,-8.2634777
SCOIL MHUIRE NAOFA CASTLECUFFE,CILL NA MULLACH CO CHORCAI,CORK,CORK,P51X640,53.1514806,-7.5874137
SCOIL MHUIRE NA TROCAIRE,MOYLAGH OLDCASTLE CO. MEATH,MEATH,MEATH,A82YF90,53.7189532,-7.1722349
SCOIL MHUIRE NS,NEWTOWNFORBES CO. LONGFORD,LONGFORD,LONGFORD,N39K263,53.7629178,-7.8333866
SCOIL MHUIRE N S,SCHULL CO CORK,CORK,CORK,P81Y163,51.5289702,-9.5457877
"SCOIL MHUIRE N.S.,",CRUMLIN ROAD DUBLIN 12,DUBLIN,DUBLIN 12,D12P602,53.3602657,-6.3588365
SCOIL MHUIRE OGH 1,ST. ORAN'S ROAD BUNCRANA CO. DONEGAL,DONEGAL,DONEGAL,F93PN53,55.131301,-7.4584257
SCOIL MHUIRE SECONDARY SCHOOL,BLAKESTOWN MULHUDDART DUBLIN 15,DUBLIN,DUBLIN 15,D15YK58,53.3978679,-6.3999446
SCOIL MHUIRE SIN,ROSELAWN DRIVE CASTLEREA CO. ROSCOMMON,ROSCOMMON,ROSCOMMON,F45TR63,53.7776981,-8.1124398
SCOIL MICHEAL NAOFA,WALTER MACKEN ROAD BALLYBANE GALWAY,GALWAY,GALWAY,H91YD58,53.2816991,-9.0132492
SCOIL MOBHI,GLENFIELD ROAD KILMALLOCK CO. LIMERICK,LIMERICK,LIMERICK,V35H324,52.4020345,-8.5847791
SCOIL MOCHEALLÓG,OLD NANGOR ROAD DEANSRATH CLONDALKIN DUBLIN 22,DUBLIN,DUBLIN 22,D22KF84,53.3498053,-6.2603097
SCOIL MOCHUA,MILVERTON SKERRIES CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K34WP77,53.3193553,-6.4232992
SCOIL MOIBHI,CASTLETROY CO. LIMERICK,LIMERICK,LIMERICK,V94T9P1,52.663839,-8.6267299
SCOIL MOIN A LIN,SWINFORD CO MAYO,MAYO,MAYO,F12XV59,53.9420999,-8.9527876
SCOIL MUIRE AGUS PADRAIG,CONVENT OF MERCY ROSCOMMON TOWN ROSCOMMON CO.ROSCOMMON,ROSCOMMON,ROSCOMMON,F42VK66,53.6273655,-8.1975527
SCOIL  MUIRE GAN SMAL,ARDATTIN CO. CARLOW,CARLOW,CARLOW,R93WC03,52.7550249,-6.7061489
SCOIL MUIRE GAN SMAL,BALLINAHINCH ASHFORD CO. WICKLOW,WICKLOW,WICKLOW,A67X257,53.0155277,-6.1063545
SCOIL NA CORÓINE MHUIRE,ST CANICE'S ROAD BALLYGALL DUBLIN 11,DUBLIN,DUBLIN 11,D11XE17,53.3841758,-6.2743337
SCOIL NA CROISE NAOFA,LIOS UÍ MHULLÁIN ÁTH LUAIN CO. NA HIARMHÍ,WESTMEATH,WESTMEATH,N37RP03,53.5345308,-7.4653217
SCOIL NA GCEITHRE MAISTRI,MEELICK SWINFORD CO. MAYO,MAYO,MAYO,F12TW53,54.0152604,-9.4289369
SCOIL NA GCOILLINI,SANDY LANE BLACKROCK CO. LOUTH,LOUTH,LOUTH,A91AK57,53.9641802,-6.3682169
SCOIL NA GCREAGACHA DUBHA,BEAUPARC NAVAN CO. MEATH,MEATH,MEATH,C15X535,53.605548,-6.6564169
SCOIL NAIS AITINN BHUI,GRANGE TULLOW CO. CARLOW,CARLOW,CARLOW,R93FX22,52.8375687,-6.7821601
SCOIL NAIS BHRIDE,THE AVENUE RUSH CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K56TY32,53.5350471,-6.099188
SCOIL NAIS CAITRIONA,CAHERCONLISH CO. LIMERICK,LIMERICK,LIMERICK,V94X4A8,52.5941427,-8.4766649
SCOIL NAIS CATHAIR CHINN LIS,KNOCKAINEY HOSPITAL CO. LIMERICK,LIMERICK,LIMERICK,V35AH66,52.4721897,-8.4735494
SCOIL NAIS CNOC AINE,ASHBOURNE CO. MEATH,MEATH,MEATH,A84KT02,53.605548,-6.6564169
SCOIL NAIS FININ NAOFA,KILBARRON PARK KILMORE WEST DUBLIN 5,DUBLIN,DUBLIN 5,D05TN12,53.3951573,-6.2199655
SCOIL NAIS IDE CAILINI,ST. JOSEPH'S ROAD CO. CARLOW,CARLOW,CARLOW,R93HP99,52.838937,-6.9234188
SCOIL NAIS IOSEF NAOFA,STATION ROAD BALLA CO. MAYO,MAYO,MAYO,F23W272,53.7990549,-9.1295631
SCOIL NAISIUNTA BALLA ALUINN,HOSPITAL HILL BUNCLODY ENNISCORTHY CO. WEXFORD,WEXFORD,WEXFORD,Y21R820,52.6511623,-6.6541528
SCOIL NÁISIÚNTA BHANTIARNA LOURDES,PROSPEROUS ROAD CLANE CO. KILDARE,KILDARE,KILDARE,W91PF77,53.2120434,-6.8194708
SCOIL NAISIUNTA BHRIDE,SANDY LANE PORTARLINGTON CO. LAOIS,LAOIS,LAOIS,R32Y195,53.157234,-7.1911342
SCOIL NÁISIÚNTA CÚIL AN TSÚDAIRE 2,BAILE AN MHÓRAIGH TRÁ LÍ CO. CHIARRAÍ,KERRY,KERRY,V92W592,53.161211,-7.1877574
SCOIL NAISIUNTA EIRC,TOWNPARKS LIFFORD CO. DONEGAL,DONEGAL,DONEGAL,F93DE28,54.8293895,-7.4854018
SCOIL NÁISIÚNTA MUIRE GAN SMÁL,TERMONFECKIN DROGHEDA CO. LOUTH,LOUTH,LOUTH,A92YN15,53.9252324,-6.4889423
SCOIL NÁISIÚNTA NAOMH PÁDRAIG,MONASTEREVIN CO. KILDARE,KILDARE,KILDARE,W34K449,53.1426291,-7.0653373
SCOIL NAISIUNTA NAOMH PHEADAR,ROSARY LANE TAYLOR'S HILL GALWAY,GALWAY,GALWAY,H91W2V9,53.268218,-9.0760327
SCOIL NÁISIÚNTA RÓIS,1 ZION ROAD RATHGAR DUBLIN 6,DUBLIN,DUBLIN 6,D06E161,53.3096452,-6.2748588
SCOIL NAISIUNTA STRATFORD,BOHOLA CLAREMORRIS CO. MAYO,MAYO,MAYO,F12PR53,53.8999558,-9.0590904
SCOIL NAISIUNTA THOLA,TRIANLÁIR TUARMHICÉADAIGH CO. MHAIGH EO,MAYO,MAYO,F12CD93,53.6625378,-9.354931
SCOIL NÁISIÚNTA THUAR MHIC ÉADAIGH,NEWTOWN BORRIS CO. CARLOW,CARLOW,CARLOW,R95TP30,52.7232217,-6.8108295
SCOIL NAIS MHICHIL,DRUMPHEA BAGENALSTOWN CO. CARLOW,CARLOW,CARLOW,R21D778,52.6581496,-6.8399515
SCOIL NAIS MHUIRE,KILTALE DUNSANY CO MEATH,MEATH,MEATH,C15XF86,53.5243771,-6.6728621
SCOIL NAIS MHUIRE NAOFA,BLAKESTOWN MULHUDDART DUBLIN 15,DUBLIN,DUBLIN 15,D15F293,53.3975378,-6.4009764
SCOIL NAIS MOLAISE,MAIO TIERWORKER CO. MEATH,MEATH,MEATH,A82AP80,53.8510661,-6.9144793
SCOIL NAIS NAOMH AINE,BALLASK KILMORE CO. WEXFORD,WEXFORD,WEXFORD,Y35YX20,52.2074956,-6.5462837
SCOIL NAIS REALTA NA MARA,MAIN STREET CASTLEKNOCK DUBLIN 15,DUBLIN,DUBLIN 15,D15PV38,53.3742074,-6.3622634
SCOIL NAISUNTA CHNUACHA,BÓTHAR ÁTHA LEATHAN BAILE AN TSAOIR BAILE ÁTHA CLIATH 16,DUBLIN,DUBLIN 16,D16EK63,53.282278,-6.2615337
SCOIL NAITHI,HARBOUR STREET MULLINGAR CO. WESTMEATH,WESTMEATH,WESTMEATH,N91YD83,53.5283965,-7.3426107
SCOIL NA MAIGHDINE MHUIRE,ENNIS ROAD NEWMARKET-ON-FERGUS CO. CLARE,CLARE,CLARE,V95FX59,52.7634022,-8.8981323
SCOIL NA MAIGHDINE MHUIRE,OLDTOWN ROAD CELBRIDGE CO. KILDARE,KILDARE,KILDARE,W23VR98,53.2120434,-6.8194708
