name,addressLine,city,neighboorhoud,postcode,latitude,longitude
BALLINTLEVA N S,KINGSFORT BALLINTOGHER CO. SLIGO,SLIGO,SLIGO,F91DR72,54.2766103,-8.4760888
BALLINTOGHER N S,BALLINTOTAS CASTLEMARTYR CO. CORK,CORK,CORK,P25Y272,54.2006449,-8.3649676
BALLINTOTAS N S,BALLINTUBBER CLAREMORRIS CO. MAYO,MAYO,MAYO,F12KW18,54.0152604,-9.4289369
BALLINTUBBER N S,BALLYADAMS VIA ATHY CO LAOIS,LAOIS,LAOIS,R14E225,52.994295,-7.3323007
BALLYBAY CENTRAL NS,BALLYBAY CO MONAGHAN,MONAGHAN,MONAGHAN,A75V882,54.1302786,-6.8975021
BALLYBAY COMMUNITY COLLEGE,KILTOOM ATHLONE CO ROSCOMMON,ROSCOMMON,ROSCOMMON,N37RC82,54.1294617,-6.9027864
BALLYBAY NATIONAL SCHOOL,BALLYBOUGHAL CO. DUBLIN,DUBLIN,DUBLIN COUNTY,A41RC98,54.1294617,-6.9027864
BALLYBOGHILL N S,BALLYCAHILL THURLES CO. TIPPERARY,TIPPERARY,TIPPERARY,E41RR68,52.6882205,-7.9072167
BALLYCAHILL N S,BALLYCANEW GOREY CO. WEXFORD,WEXFORD,WEXFORD,Y25Y6W8,52.4793603,-6.5839913
BALLYCANEW N S,BALLYCAR NEWMARKET-ON-FERGUS CO. CLARE,CLARE,CLARE,V95VR74,52.6106782,-6.3049672
BALLYCAR N S,BALLYCLOUGH CO. CORK,CORK,CORK,P51CY80,51.8890405,-8.4940437
BALLYCLOUGH MIXED N S,CLIFDEN CO. GALWAY,GALWAY,GALWAY,H71N291,52.1673919,-8.742242
BALLYCONEELY N S,CHURCH STREET BALLYCONNELL CO. CAVAN,CAVAN,CAVAN,H14K125,54.1171497,-7.5875073
BALLYCONNELL MXD N S,BALLYCONNELL TULLOW CO. CARLOW,CARLOW,CARLOW,R93VA44,54.1162175,-7.5839543
BALLYCONNELL N S,CLASHMORE VIA YOUGHAL CO. WATERFORD,WATERFORD,WATERFORD,P36FR50,54.1162175,-7.5839543
BALLYCURRANE N S,1 LUCAN ROAD YELLOW WALLS BALLYOWEN PALMERSTOWN,DUBLIN,DUBLIN 20,D20EW44,53.3498053,-6.2603097
BALLYDOWD HIGH SUPPORT SPECIAL SCHOOL,BALLYDREHID CAHIR CO. TIPPERARY,TIPPERARY,TIPPERARY,E21X224,53.3573246,-6.4257822
