"AIRO_ID","Roll_No","Off_Name","Add_1","Add_2","Add_3","Add_4","County","Gender","Pupil_Att","Irish_Lan","Fee","Ethos","F_13_14","M_13_14","xcoord","ycoord","Long","Lat"
394,"70160R","St. Kevins College","Clogher Road","Crumlin","Dublin 12","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",92,214,313677,232114,313677,232114
395,"70170U","Crumlin College Of Further Education","Crumlin Road","Crumlin","Dublin 12","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",412,254,313087.6,232296.33,313087.6,232296.33
396,"70180A","Coláiste Eoin","Cappagh Road","Finglas West","Dublin 11","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",34,97,312532,238849,312532,238849
397,"70190D","Colaiste Ide College of Further Education","Cardiffsbridge Road","Finglas West","Dublin11","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",291,432,312378,238671,312378,238671
398,"70200D","Ringsend College","Cambridge Road","Ringsend","Dublin 4","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",75,80,318332,234063,318332,234063
399,"70220J","Inchicore College of Further Education","Emmet Road","Inchicore","Dublin 8","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",457,344,312412.69,233528.14,312412.69,233528.14
400,"70230M","Killester College of Further Education","Collins Avenue","Killester","Dublin 5","Dublin","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",194,150,319303.19,237145.71,319303.19,237145.71
401,"70240P","Kylemore College","Kylemore Road","Ballyfermot","Dublin 10","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",81,262,309829,234006,309829,234006
402,"70250S","Marino College","14-20 Marino Mart","Fairview","Dublin 3","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",451,175,317773,236344,317773,236344
403,"70260V","St Mac Dara's Community College","Wellington Lane","Templeogue","Dublin 6W","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",379,477,311558,228722,311558,228722
404,"70280E","Rathmines College","Town Hall","Rathmines","Dublin 6","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",308,368,315658,231802,315658,231802
405,"70290H","Ballsbridge College of Further Education","Shelbourne Road","Ballsbridge","Dublin 4","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",236,213,317879.1,232511.23,317879.11,232511.23
406,"70300H","Pearse College - Colaiste an Phiarsaigh","Clogher Road","Crumlin","Dublin 12","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",215,496,313669,232024,313669,232024
407,"70310K","Plunket College","Swords Road","Whitehall","Dublin 9","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",157,305,316621,237990,316621,237990
408,"70320N","Whitehall House Senior College","Swords Road","Dublin 9","","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",306,269,315436.95,237115.59,315436.95,237115.59
409,"70321P","Margaret Aylward Community College","The Thatch Road","Whitehall","Dublin 9","","Dublin","Girls","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",220,0,317125,238510,317125,238510
410,"70330Q","Coláiste Dhúlaigh","Barryscourt Road","Coolock","Dublin 17","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",121,205,318911,239980,318911,239980
411,"70340T","Liberties College","Bull Alley Street","Dublin 8","","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",557,240,315201.02,233652.44,315201.02,233652.44
412,"70342A","Ballyfermot College of Further Education","Ballyfermot Road","Dublin 10","","","Dublin","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",687,769,309814.4,233451.78,309814.4,233451.79
413,"70350W","St Bricin's Vocational School","Belturbet","Co Cavan","","","Cavan","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",84,113,236450,316857,236450,316857
414,"70360C","St. Mogue's College","Bawnboy","Belturbet","Co Cavan","","Cavan","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",86,106,221106,319290,221106,319290
415,"70380I","Breifne College","Cootehill Rd","Cavan","Co Cavan","","Cavan","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",299,361,242874,306854,242874,306854
416,"70390L","Virginia College","Virginia","Co Cavan","","","Cavan","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",313,405,260344,287231,260344,287231
417,"70400L","Borris Vocational School","Borris","Co Carlow","","","Carlow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",197,271,273382,150053,273382,150053
418,"70410O","Coláiste Eoin","Hacketstown","Co Carlow","","","Carlow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",106,122,297477,179893,297477,179893
